erp_item_code,item_description,division,department,category,sub_category,class_name,brand
6010010001,AERO CHAMBER  Z  0-18 MOS ORANGE,WELLNESS,HOME HEALTH CARE,HOME PATIENT CARE,MEDICAL DISPOSABLES,EQUIPMENT,AEROCHAMBER
6560030359,LIMITLESS ALLZYME ORIGINAL TAB 20'S,WELLNESS,HOME REMEDIES,MASSAGE & PAIN RELIEF, ORAL PAIN RELIVERS,ADULT PAIN RELIVERS,LIMITLESS ALLZYME MAX
6010010002,AERO CHAMBER Z 1-5 YRS YELLOW,WELLNESS,HOME HEALTH CARE,HOME PATIENT CARE,MEDICAL DISPOSABLES,EQUIPMENT,AEROCHAMBER
6560030358,LIMITLESS ALLZYME ORIGINAL TAB 30'S,WELLNESS,HOME REMEDIES,MASSAGE & PAIN RELIEF, ORAL PAIN RELIVERS,ADULT PAIN RELIVERS,LIMITLESS ALLZYME ORIGINAL
6010010003,AERO CHAMBER  Z  5+ YRS BLUE,WELLNESS,HOME HEALTH CARE,HOME PATIENT CARE,MEDICAL DISPOSABLES,EQUIPMENT,AEROCHAMBER
6650030033,MYOREST PLUS CREAM 100 GM,WELLNESS,HOME REMEDIES,MASSAGE & PAIN RELIEF,TOPICAL PAIN RELIVERS,MASSAGE ESSENTIALS,MYOREST
6650030025,RADIAN MASSAGE CREAM-100GM,WELLNESS,HOME REMEDIES,MASSAGE & PAIN RELIEF,TOPICAL PAIN RELIVERS,MASSAGE ESSENTIALS,RADIAN MASSAGE
6650030026,RADIAN MASSAGE CREAM-40GM,WELLNESS,HOME REMEDIES,MASSAGE & PAIN RELIEF,TOPICAL PAIN RELIVERS,MASSAGE ESSENTIALS,RADIAN MASSAGE
6650030242,RAPID-CLAW MASSAGE CREAM 100 ML,WELLNESS,HOME REMEDIES,MASSAGE & PAIN RELIEF,TOPICAL PAIN RELIVERS,MASSAGE ESSENTIALS,BABY FOOT
6560180329,MOVE ON ADVANCE 100 GM,WELLNESS,HOME REMEDIES,MASSAGE & PAIN RELIEF,TOPICAL PAIN RELIVERS,TOPICAL APPLICATIONS,MOVE ON
6650030014,MOOV MUSCLES PAIN RELIF 100 GM,WELLNESS,HOME REMEDIES,MASSAGE & PAIN RELIEF,TOPICAL PAIN RELIVERS,TOPICAL APPLICATIONS,MOOV
6650030015,MOOV MUSCLES PAIN RELIF 50 GM,WELLNESS,HOME REMEDIES,MASSAGE & PAIN RELIEF,TOPICAL PAIN RELIVERS,TOPICAL APPLICATIONS,MOOV
6010010064,PHILIPS CPAP AUTO W/ MASK FREE (INX500H15),WELLNESS,HOME HEALTH CARE,RESPIRATORY DEVICES,SLEEP APNEA DEVICES,CPAP,VITALAIRE
6010010065,PHILIPS BIPAP AUTO W/ MASK FREE (INX700H15),WELLNESS,HOME HEALTH CARE,RESPIRATORY DEVICES,SLEEP APNEA DEVICES,BIPAP,VITALAIRE
6650030228,MOVE ON CREAM 100 GM,WELLNESS,HOME REMEDIES,MASSAGE & PAIN RELIEF,TOPICAL PAIN RELIVERS,TOPICAL APPLICATIONS,MOVE ON
6560180332,MOVE ON CREAM 250 GM,WELLNESS,HOME REMEDIES,MASSAGE & PAIN RELIEF,TOPICAL PAIN RELIVERS,TOPICAL APPLICATIONS,MOVE ON
6650030229,MOVE ON CREAM 50 GM,WELLNESS,HOME REMEDIES,MASSAGE & PAIN RELIEF,TOPICAL PAIN RELIVERS,TOPICAL APPLICATIONS,MOVE ON
6560180330,MOVE ON FREEZ GEL 100 ML,WELLNESS,HOME REMEDIES,MASSAGE & PAIN RELIEF,TOPICAL PAIN RELIVERS,TOPICAL APPLICATIONS,MOVE ON
6560180331,MOVE ON FREEZ SPRAY 200 ML,WELLNESS,HOME REMEDIES,MASSAGE & PAIN RELIEF,TOPICAL PAIN RELIVERS,TOPICAL APPLICATIONS,MOVE ON
6650030231,MOVE ON SPRAY 200 ML,WELLNESS,HOME REMEDIES,MASSAGE & PAIN RELIEF,TOPICAL PAIN RELIVERS,TOPICAL APPLICATIONS,MOVE ON
6010010101,AERO CHAMBER SMALL (ORANGE),WELLNESS,HOME HEALTH CARE,HOME PATIENT CARE,MEDICAL DISPOSABLES,EQUIPMENT,AEROCHAMBER
6010010102,AERO CHAMBER MEDIUM (YELLOW),WELLNESS,HOME HEALTH CARE,HOME PATIENT CARE,MEDICAL DISPOSABLES,EQUIPMENT,AEROCHAMBER
6560180345,NOORTRYPSIN GEL 100 ML,WELLNESS,HOME REMEDIES,MASSAGE & PAIN RELIEF,TOPICAL PAIN RELIVERS,TOPICAL APPLICATIONS,NOORTRYPSIN
6010010111,AERO CHAMBER LARGE (BLUE),WELLNESS,HOME HEALTH CARE,HOME PATIENT CARE,MEDICAL DISPOSABLES,EQUIPMENT,AEROCHAMBER
6010010113,PHILIPS BIPAP S/T (INX1030H19),WELLNESS,HOME HEALTH CARE,RESPIRATORY DEVICES,SLEEP APNEA DEVICES,BIPAP,VITALAIRE
6650030212,PEROZIN EU 100 ML,WELLNESS,HOME REMEDIES,MASSAGE & PAIN RELIEF,TOPICAL PAIN RELIVERS,TOPICAL APPLICATIONS,PERUZEN
6650030241,PIC ICE SPRAY 150 ML,WELLNESS,HOME REMEDIES,MASSAGE & PAIN RELIEF,TOPICAL PAIN RELIVERS,TOPICAL APPLICATIONS,PIC
6650030221,POLAR FROST COLD GEL 150 ML,WELLNESS,HOME REMEDIES,MASSAGE & PAIN RELIEF,TOPICAL PAIN RELIVERS,TOPICAL APPLICATIONS,POLAR
6650030222,POLAR FROST COLD SPRAY 200 ML,WELLNESS,HOME REMEDIES,MASSAGE & PAIN RELIEF,TOPICAL PAIN RELIVERS,TOPICAL APPLICATIONS,POLAR
6560180303,RADIAN ICE GEL 150 ML,WELLNESS,HOME REMEDIES,MASSAGE & PAIN RELIEF,TOPICAL PAIN RELIVERS,TOPICAL APPLICATIONS,RADIAN MASSAGE
6560180304,RADIAN ICE GEL ROLL 75 ML,WELLNESS,HOME REMEDIES,MASSAGE & PAIN RELIEF,TOPICAL PAIN RELIVERS,TOPICAL APPLICATIONS,RADIAN MASSAGE
6560180277,AVALON ACTIV COLD ROLL ON 59 ML,WELLNESS,HOME REMEDIES,MASSAGE & PAIN RELIEF,TOPICAL PAIN RELIVERS,TOPICAL APPLICATIONS,AVALON
